NORMALIZED_STRING	ORIGINAL_STRING	IDENTIFIER	SOURCE_CODE
Urine Urobilinogen	Urine Urobilinogen	4870243	CERNER
Urine Urobilinogen	Urobilinogen	228467	SCM
Urine Urobilinogen	C UA UROBILINOGEN	163065	EPIC
Urine Urobilinogen	Urobilinogen PAH	227688	SCM
Urine Urobilinogen	UA Urobilinogen	162219	DMEE
Urine Urobilinogen	UA Urobilinogen	162621	DMEE
Urine Urobilinogen	UA Urobilinogen	POC UA DIP_UA Urobilinogen	PS
Urine Urobilinogen	UA Urobilinogen	UA DIP_UA Urobilinogen	PS
Urine WBC	Urine WBC	4863244	CERNER
Urine WBC	C UA WBC	170485	EPIC
Urine WBC	UA White Blood Cells	228455	SCM
Urine WBC	UA WBC	168896	DMEE
Urine WBC	UA WBC	169305	DMEE
Urine WBC	UA WBC	5150017	DMEE
Urine WBC	UA WBC	UA MICR_UA WBC	PS
White Blood Cell	White Blood Cell	4864303	CERNER
White Blood Cell	C WHITE BLOOD CELLS	159158	EPIC
White Blood Cell	WBC Result HUP/PMC	228429	SCM
White Blood Cell	WBC Count PAH ***LIO***	229515	SCM
White Blood Cell	White Blood Cells PAH	226693	SCM
White Blood Cell	WBC Count PAH Result	228691	SCM
White Blood Cell	WHITE BLOOD CELLS	794005	EPIC
White Blood Cell	WBC	161934	DMEE
White Blood Cell	WBC	161941	DMEE
White Blood Cell	WBC	161940	DMEE
White Blood Cell	WBC	166283	DMEE
White Blood Cell	WBC	165362	DMEE
White Blood Cell	WBC	168602	DMEE
White Blood Cell	WBC	168606	DMEE
White Blood Cell	WBC	165368	DMEE
White Blood Cell	WHITE BLOOD CELL COU	168607	DMEE
White Blood Cell	WBC	168601	DMEE
White Blood Cell	WBC	168605	DMEE
White Blood Cell	WBC	168912	DMEE
White Blood Cell	WBC	165365	DMEE
White Blood Cell	WBC	165353	DMEE
White Blood Cell	WBC	161935	DMEE
White Blood Cell	WBC	5147010	DMEE
White Blood Cell	WBC	165356	DMEE
White Blood Cell	WBC	161939	DMEE
White Blood Cell	WBC	166505	DMEE
White Blood Cell	WHITE BLOOD CELLS	166235	DMEE
White Blood Cell	WBC	165350	DMEE
White Blood Cell	WBC	CBCAUTO_WBC	PS
White Blood Cell	WBC	CBC PLT_WBC	PS
Whole Blood Glucose	Whole Blood Glucose	4865310	CERNER
Whole Blood Glucose	LEAN Glucose (Whole Blood)	230378	SCM
Whole Blood Glucose	C WHOLE BLOOD GLUCOSE	1407002	EPIC
Whole Blood Glucose	Whole Bd Glu	160902	DMEE
Whole Blood Glucose	Whole Bd Glu	ABL90 VEN_Whole Bd Glu	PS
Whole Blood Glucose	Whole Bd Glu	GEM4VEN_Whole Bd Glu	PS
Whole Blood Glucose	Whole Bd Glu	GEM4ART_Whole Bd Glu	PS
Whole Blood Glucose	Whole Bd Glu	WBGL_Whole Bd Glu	PS
